LOCATION;Country;TIME;Business enterprise;Government;Higher Education;Private non-profit;Rest of the world;Not specified source;Basic research;Applied research;Experimental development;Not specified activities;Medical and health sciences
BLR;Belarus;1997;99353.94925;224244.84425999998;3039.3444;;12844.55632;;;;;;
BLR;Belarus;1998;85699.00763;248497.80766;3613.63944;25.357039999999998;21815.4147;;;;;;
BLR;Belarus;1999;80908.22987000001;249907.47836999997;4172.22055;;117181.79050999999;;;;;;
BLR;Belarus;2000;99321.2968;261747.49504;4739.99757;5.07019;52193.84405;;;;;;
BLR;Belarus;2001;106683.2474;288404.41418;4616.079479999999;;39762.19019;;;;;;
BLR;Belarus;2002;100325.90633;260142.77169000002;8858.16464;7.33732;41281.0055;;;;;;
BLR;Belarus;2003;93144.42048;304975.19195;10460.639879999999;;32914.43548;;;;;;
BLR;Belarus;2004;105211.55972;361676.01411;12494.45055;;39524.770710000004;;;;;;
BLR;Belarus;2005;134456.7981;455177.26368000003;4241.54843;;39617.43979;;;;;;30851.6687
BLR;Belarus;2006;144462.27816;502081.73527;4937.11214;;47859.4062;;;;;;43197.39417
BLR;Belarus;2007;512613.4234;559073.96828;3144.65898;847.8068599999999;59702.36497;;;;;;36684.04425
BLR;Belarus;2008;358880.28080999997;566216.6440399999;3042.64844;840.8662400000001;54272.14313;;;;;;46404.98633
BLR;Belarus;2009;247970.27094000002;538311.0469300001;;1114.3724300000001;73059.58156;;;;;;51894.29813
BLR;Belarus;2010;274426.64157;594575.96557;;6101.269679999999;137458.33031;;;;;;56005.98055
BLR;Belarus;2011;504569.47855;500981.39176;;21.17178;96357.51772999999;;;;;;45280.07804
BLR;Belarus;2012;506786.53441;476874.31215;;;103333.63423;;;;;;39831.036869999996
BLR;Belarus;2013;493681.32359;544052.3856899999;;;89603.10145;;;;;;47981.69763
BLR;Belarus;2014;348934.81785;445880.70586000005;;;112342.17386;;;;;;36896.38648
BLR;Belarus;2015;359453.80478;400056.68426;;;110683.03714000001;;;;;;30074.25695
CZE;Czechia;1996;802614.14051;467564.86931000004;47183.39614;2324.83505;25928.94328;;252323.20105;424584.37782;668708.60542;;94060.67522
CZE;Czechia;1997;902280.07001;464374.24009;109218.97514000001;3701.5506299999997;28721.86463;;271614.82934;431989.54397;804692.32719;;78747.00498
CZE;Czechia;1998;982952.15896;601595.6608399999;4935.15133;985.60186;42559.4309;;289631.24705999997;425487.17835999996;917909.57846;;78083.95
CZE;Czechia;1999;874214.2121700001;708205.22371;11841.72151;1173.63056;66390.94548;;340106.89174;445684.44798999996;876034.3937;;90664.71764
CZE;Czechia;2000;945789.0110899999;821994.12682;8869.386770000001;12160.542870000001;58083.32691;;430998.64623;466737.74262;949160.0056200001;;127957.63892
CZE;Czechia;2001;1040467.8490299999;864496.03028;14208.20906;20318.43886;43849.47277;;496383.59085;495916.60971000005;991039.7994299999;;125193.21939000001
CZE;Czechia;2002;1098059.7263;859920.04189;9510.094570000001;21025.95454;55442.122220000005;;496639.4784;575414.60035;971903.8607600001;;128887.71801
CZE;Czechia;2003;1168911.81919;950368.7033;26343.48928;22693.97587;103756.7737;;570356.17985;680813.1462;1020905.43528;;168995.17262
CZE;Czechia;2004;1284227.20024;1018429.57909;37540.90609;1318.24002;89894.87692000001;;641158.79265;692512.5616100001;1097739.51741;;203747.67995
CZE;Czechia;2005;1262452.315;1184430.8526;31148.650169999997;147.84556;141271.89622999998;;801956.71167;763806.2384;1053688.67817;;231668.3002
CZE;Czechia;2006;1472407.6453200001;1348371.21651;36191.79871;388.45526;142958.8184;;984628.83488;832856.75563;1182832.34369;;259417.24915
CZE;Czechia;2007;1652296.78831;1566164.0138;29445.565769999997;160.45466000000002;254403.20568;;1131225.9261100001;966710.66621;1404533.5059200001;;301353.80728
CZE;Czechia;2008;1614409.667;1605421.55321;45256.95112;111.44873;318403.56268000003;;1170385.9956;1031156.13579;1382061.05134;;312061.04487
CZE;Czechia;2009;1484816.47711;1783980.59803;44082.727660000004;823.90555;421115.94384;;1241998.45144;977094.4273;1515726.77345;;366786.33596
CZE;Czechia;2010;1582568.47893;1724874.8142;33088.10948;724.4967;540525.68695;;1162152.64992;1301037.5024299999;1418591.4339100001;;348630.93426
CZE;Czechia;2011;1771982.65607;1961667.64267;43967.82239;324.53361;924340.50777;;1352570.81048;1698331.1359299999;1651381.21609;;374564.76266
CZE;Czechia;2012;1979898.02597;2001584.03345;49322.74373;123.55521;1410637.65994;;1633267.6803700002;1973697.4043400001;1834600.9335900003;;440369.2699
CZE;Czechia;2013;2291346.80761;2117258.9827900003;27692.23543;3651.16675;1654857.6081;;2005067.27677;1977720.75099;2112018.77291;;478693.72481000004
CZE;Czechia;2014;2416045.85763;2215290.29809;37082.91558;6840.77872;2049712.24004;;2082926.0105400002;2352452.85023;2289593.1502799997;;541798.2089600001
CZE;Czechia;2015;2393650.59829;2233427.98506;49090.68503;3647.22185;2253164.9578299997;;;;;;
DEU;Germany;1996;25149629.46103;16081104.357879998;;129010.92547;849762.54337;;;;;;
DEU;Germany;1997;26996609.70993;15816868.875579998;;145091.26874;1059696.21933;;;;;;
DEU;Germany;1998;28733034.34329;16021183.674689999;;159128.15082;1130557.72402;;;;;;
DEU;Germany;1999;33045528.91201;16203181.15455;;214887.24153000003;1044534.2771700001;;;;;;
DEU;Germany;2000;35421754.659590006;16839565.7163;;220489.99425;1150870.8878;;;;;;
DEU;Germany;2001;36814599.16977;17630815.6774;;239366.00355999998;1385195.96744;;;;;;
DEU;Germany;2002;38284194.91994;18488112.32764;;264813.73808000004;1395227.19235;;;;;;
DEU;Germany;2003;40289280.844790004;18948073.70931;;195878.85166;1368810.78014;;;;;;
DEU;Germany;2004;41801124.71751;19170012.408;;237991.32126;1592816.6152899999;;;;;;
DEU;Germany;2005;43158731.140879996;18128751.342070002;;187455.09733;2393192.0969;;;;;;
DEU;Germany;2006;47340285.64791;19079987.78254;;248476.65061999997;2648805.90872;;;;;;
